type,dust,wr,games,duration,card_0,card_1,card_2,card_3,card_4,card_5,card_6,card_7,card_8,card_9,card_10,card_11,card_12,card_13,card_14,card_15,card_16,card_17,card_18,card_19,card_20,card_21,card_22,card_23,card_24,card_25,card_26,card_27,card_28,card_29,wins,hero
Face Hunter,1920,0.578,14000,5.7,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Hunter's Mark,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Ironbeak Owl,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,8091.999999999999,Hunter
Token Druid,4760,0.578,9000,6.5,Acornbearer,Treenforcements,Dendrologist,Rising Winds,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,5202.0,Druid
Quest Resurrect Priest,11860,0.578,3500,10.4,Forbidden Words,Activate the Obelisk,Penance,Shadow Word: Pain,Breath of the Infinite,Shadow Word: Death,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Archivist Elysiana,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,2022.9999999999998,Priest
Face Hunter,4360,0.578,1300,5.7,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Knife Juggler,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Ironbeak Owl,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,751.4,Hunter
Quest Resurrect Priest,11860,0.578,2200,10.4,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,1271.6,Priest
Embiggen Druid,6620,0.578,19000,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,SN1P-SN4P,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,10982.0,Druid
Token Druid,3280,0.5770000000000001,12000,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,,6924.000000000001,Druid
Mech Paladin,7080,0.5770000000000001,2600,6.4,Crystology,Glow-Tron,Mecharoo,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Consecration,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,Gyrocopter,,,,,,,,,,,,,1500.2000000000003,Paladin
Token Druid,4840,0.5770000000000001,110000,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,63470.00000000001,Druid
Embiggen Druid,6620,0.5770000000000001,4000,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,2308.0000000000005,Druid
Highlander Hunter,18360,0.5770000000000001,15000,6.9,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,8655.000000000002,Hunter
Token Druid,4840,0.5760000000000001,17000,6.2,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,9792.000000000002,Druid
Highlander Hunter,16080,0.5760000000000001,1300,6.5,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Rat Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Evasive Feywing,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,748.8000000000001,Hunter
Token Druid,6400,0.5760000000000001,12000,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,SN1P-SN4P,Garden Gnome,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,6912.000000000001,Druid
Mech Paladin,7240,0.5760000000000001,2600,6.0,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Righteous Cause,Galvanizer,Micro Mummy,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Explodinator,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,1497.6000000000001,Paladin
Mech Paladin,8300,0.5760000000000001,6400,5.9,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shieldbreaker,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,Octosari,,,,,,,,,,,,,3686.4000000000005,Paladin
Token Druid,4780,0.5760000000000001,3100,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1785.6000000000001,Druid
Face Hunter,2160,0.5760000000000001,5500,5.6,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Bomb Toss,Explosive Trap,Kobold Sandtrooper,Misdirection,Phase Stalker,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,3168.0000000000005,Hunter
Highlander Hunter,17020,0.5760000000000001,1100,7.1,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Fresh Scent,Hench-Clan Hogsteed,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,633.6,Hunter
Highlander Hunter,16360,0.5760000000000001,4800,6.7,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,2764.8,Hunter
Highlander Hunter,16720,0.5760000000000001,12000,6.8,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,6912.000000000001,Hunter
Highlander Hunter,17920,0.575,3000,6.6,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Houndmaster Shaw,Boompistol Bully,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,1724.9999999999998,Hunter
Highlander Hunter,16760,0.575,7100,6.9,Crystallizer,Dwarven Sharpshooter,Springpaw,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Dragonmaw Poacher,Faceless Corruptor,Leeroy Jenkins,Rotnest Drake,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,4082.4999999999995,Hunter
Pirate Warrior,8180,0.575,5000,6.2,Sky Raider,Southsea Deckhand,Town Crier,Upgrade!,Bloodsail Raider,Parachute Brigand,Ancharrr,Livewire Lance,Skybarge,Southsea Captain,Dread Corsair,Hoard Pillager,Kor'kron Elite,Restless Mummy,Arcanite Reaper,Captain Greenskin,Leeroy Jenkins,,,,,,,,,,,,,,2875.0,Warrior
Embiggen Druid,6620,0.575,350000,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,201249.99999999997,Druid
Face Hunter,1880,0.575,2900,5.9,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,,1667.4999999999998,Hunter
Quest Hunter,14020,0.575,6600,8.2,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Sky Gen'ral Kragg,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,Shu'ma,,,,,,,,,,,3794.9999999999995,Hunter
Quest Resurrect Priest,11960,0.575,74000,10.3,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,42550.0,Priest
Token Druid,4800,0.574,2200,6.6,Acornbearer,Treenforcements,Dendrologist,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Swipe,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1262.8,Druid
Face Hunter,3980,0.574,2000,5.9,Blazing Battlemage,Dwarven Sharpshooter,Leper Gnome,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Questing Explorer,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,1148.0,Hunter
Secret Highlander Hunter,15160,0.574,2400,7.8,Clear the Way,Secretkeeper,Springpaw,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Scavenging Hyena,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Masked Contender,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,1377.6,Hunter
Secret Highlander Hunter,14740,0.574,2000,7.9,Dwarven Sharpshooter,Secretkeeper,Springpaw,Explosive Trap,Freezing Trap,Phase Stalker,Pressure Plate,Rat Trap,Snake Trap,Snipe,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Eaglehorn Bow,Kill Command,Primordial Explorer,Unleash the Hounds,Ursatron,Dragonbane,Hyena Alpha,Faceless Corruptor,Subject 9,Zilliax,Unleash the Beast,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,Zul'jin,1148.0,Hunter
Token Druid,4840,0.574,2200,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Wispering Woods,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,1262.8,Druid
Highlander Hunter,16720,0.574,8200,7.0,Dwarven Sharpshooter,Springpaw,Tracking,Faerie Dragon,Fresh Scent,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Nightmare Amalgam,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Houndmaster,Lifedrinker,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,4706.799999999999,Hunter
Quest Hunter,12500,0.574,1600,8.3,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Bone Wraith,Cult Master,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,,,,,,,,,,,918.4,Hunter
Highlander Hunter,16440,0.574,40000,7.1,Blazing Battlemage,Dwarven Sharpshooter,Springpaw,Tracking,Explosive Trap,Faerie Dragon,Phase Stalker,Rat Trap,Snake Trap,Zephrys the Great,Animal Companion,Deadly Shot,Desert Spear,Diving Gryphon,Kill Command,Primordial Explorer,SN1P-SN4P,Stormhammer,Unleash the Hounds,Ursatron,Dragonbane,Lifedrinker,Big Ol' Whelp,Faceless Corruptor,Leeroy Jenkins,Zilliax,Veranus,Dinotamer Brann,Siamat,Dragonqueen Alexstrasza,22960.0,Hunter
Quest Resurrect Priest,12120,0.573,12000,10.0,Forbidden Words,Activate the Obelisk,Penance,Bad Luck Albatross,Breath of the Infinite,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,6875.999999999999,Priest
Token Druid,4480,0.573,2400,6.4,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,1375.1999999999998,Druid
Galakrond Zoo Warlock,6040,0.573,5300,6.9,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Leeroy Jenkins,Shield of Galakrond,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,,3036.8999999999996,Warlock
Quest Hunter,12460,0.573,2400,8.1,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Bone Wraith,Sky Gen'ral Kragg,Faceless Corruptor,"Halazzi, the Lynx",Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,,,,,,,,,,,1375.1999999999998,Hunter
Embiggen Druid,8180,0.573,2600,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,1489.8,Druid
Embiggen Druid,8180,0.573,5300,6.7,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Scalerider,SN1P-SN4P,Bone Wraith,Dragonmaw Poacher,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,3036.8999999999996,Druid
Face Hunter,3520,0.573,4100,5.4,Arcane Shot,Dwarven Sharpshooter,Leper Gnome,Rapid Fire,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Kobold Sandtrooper,Phase Stalker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,2349.2999999999997,Hunter
Quest Hunter,12520,0.573,2500,7.8,Clear the Way,Springpaw,Tracking,Unseal the Vault,Hench-Clan Hogsteed,Licensed Adventurer,Questing Explorer,Desert Spear,Diving Gryphon,SN1P-SN4P,Unleash the Hounds,Sky Gen'ral Kragg,Faceless Corruptor,Leeroy Jenkins,Zilliax,Swarm of Locusts,Veranus,Boommaster Flark,Shu'ma,,,,,,,,,,,,1432.4999999999998,Hunter
Face Hunter,2040,0.573,2000,6.2,Arcane Shot,Dwarven Sharpshooter,Rapid Fire,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Freezing Trap,Misdirection,Phase Stalker,Spellzerker,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Lifedrinker,,,,,,,,,,,,,,,1146.0,Hunter
Mech Paladin,6600,0.573,4100,5.5,Crystology,Glow-Tron,Hot Air Balloon,Mecharoo,Galvanizer,Micro Mummy,Shotbot,Goboglide Tech,Sky Claw,SN1P-SN4P,Annoy-o-Module,Blessing of Kings,Replicating Menace,Truesilver Champion,Leeroy Jenkins,Wargear,Zilliax,,,,,,,,,,,,,,2349.2999999999997,Paladin
Dragon Hunter,5760,0.573,36000,5.5,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Faerie Dragon,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Dragonbane,Evasive Feywing,Frenzied Felwing,Lifedrinker,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,,20628.0,Hunter
Embiggen Druid,6680,0.5720000000000001,7000,6.9,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,4004.0000000000005,Druid
Token Druid,6400,0.5720000000000001,8600,6.3,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,SN1P-SN4P,Garden Gnome,Soul of the Forest,Aeroponics,Anubisath Defender,Force of Nature,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,4919.200000000001,Druid
Embiggen Druid,5020,0.5720000000000001,4800,7.1,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Witching Hour,Evasive Feywing,Swipe,Big Ol' Whelp,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Reckless Rocketeer,Winged Guardian,,,,,,,,,,,,,,2745.6000000000004,Druid
Embiggen Druid,8120,0.5720000000000001,130000,6.6,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Scalerider,SN1P-SN4P,Evasive Feywing,Frizz Kindleroost,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,74360.00000000001,Druid
Galakrond Rogue,13840,0.5720000000000001,1900,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Seal Fate,SN1P-SN4P,Bone Wraith,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,1086.8000000000002,Rogue
Galakrond Rogue,15440,0.5720000000000001,5500,9.1,Backstab,Bloodsail Flybooter,Pharaoh Cat,Praise Galakrond!,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,3146.0000000000005,Rogue
Face Hunter,5920,0.5720000000000001,1800,5.7,Dwarven Sharpshooter,Timber Wolf,Toxic Reinforcements,Tracking,Explosive Trap,Knife Juggler,Kobold Sandtrooper,Phase Stalker,Snake Trap,Animal Companion,Eaglehorn Bow,Kill Command,Unleash the Hounds,Dragonbane,Lifedrinker,Leeroy Jenkins,,,,,,,,,,,,,,,1029.6000000000001,Hunter
Galakrond Rogue,13960,0.5710000000000001,1500,8.9,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Faceless Corruptor,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",,,,,,,,,,,,856.5000000000001,Rogue
Dragon Hunter,5400,0.5710000000000001,10000,5.2,Blazing Battlemage,Dwarven Sharpshooter,Tracking,Corrosive Breath,Faerie Dragon,Freezing Trap,Phase Stalker,Snake Trap,Primordial Explorer,Scalerider,Stormhammer,Dragonbane,Evasive Feywing,Frenzied Felwing,Lifedrinker,Leeroy Jenkins,Rotnest Drake,,,,,,,,,,,,,,5710.000000000001,Hunter
Quest Resurrect Priest,11860,0.5710000000000001,2200,10.4,Forbidden Words,Activate the Obelisk,Penance,Breath of the Infinite,Shadow Word: Death,Archmage Vargoth,Mass Dispel,Psychopomp,Convincing Infiltrator,Mass Hysteria,Sandhoof Waterbearer,Zilliax,Khartut Defender,Batterhead,Catrina Muerte,Mass Resurrection,Plague of Death,Zerek's Cloning Gallery,,,,,,,,,,,,,1256.2,Priest
Galakrond Rogue,15320,0.5710000000000001,3300,9.2,Backstab,Shadowstep,Pharaoh Cat,Praise Galakrond!,Eviscerate,Sap,Edwin VanCleef,EVIL Miscreant,Seal Fate,SI:7 Agent,SN1P-SN4P,Devoted Maniac,Leeroy Jenkins,Shield of Galakrond,Zilliax,Flik Skyshiv,Heistbaron Togwaggle,Kronx Dragonhoof,"Galakrond, the Nightmare",Siamat,,,,,,,,,,,1884.3000000000002,Rogue
Galakrond Zoo Warlock,6100,0.5710000000000001,3800,6.9,Beaming Sidekick,Blazing Battlemage,Flame Imp,Grim Rally,Voidwalker,EVIL Genius,Knife Juggler,Scarab Egg,Dragonblight Cultist,Devoted Maniac,Fiendish Rites,Veiled Worshipper,Faceless Corruptor,Shield of Galakrond,Kronx Dragonhoof,"Galakrond, the Wretched",Sea Giant,,,,,,,,,,,,,,2169.8,Warlock
Token Druid,2960,0.5710000000000001,1400,6.8,Acornbearer,Mecharoo,Dreamway Guardians,EVIL Cable Rat,Power of the Wild,Wrath,Blessing of the Ancients,Harvest Golem,Microtech Controller,Savage Roar,SN1P-SN4P,Explodinator,Replicating Menace,Soul of the Forest,Swipe,The Forest's Aid,,,,,,,,,,,,,,,799.4000000000001,Druid
Token Druid,6400,0.57,3800,6.5,Acornbearer,Treenforcements,Dendrologist,Power of the Wild,Shrubadier,Blessing of the Ancients,Landscaping,Savage Roar,Garden Gnome,Aeroponics,Anubisath Defender,Force of Nature,Zilliax,Goru the Mightree,The Forest's Aid,Mulchmuncher,,,,,,,,,,,,,,,2166.0,Druid
Embiggen Druid,5120,0.57,3700,6.8,Embiggen,Strength in Numbers,Breath of Dreams,Faerie Dragon,Injured Tol'vir,Bad Luck Albatross,Scalerider,Evasive Feywing,Swipe,Big Ol' Whelp,Leeroy Jenkins,Oasis Surger,Zilliax,Emerald Explorer,Evasive Wyrm,Winged Guardian,,,,,,,,,,,,,,,2109.0,Druid
